geometry_angstrom,k,topk_jaccard,topk_overlap_count,exact_order_match_count,exact_order_match_fraction,real_captured_mass,en2_captured_mass,real_minus_en2_mass,real_energy_error_hartree,en2_energy_error_hartree,en2_minus_real_error,mass_winner,energy_winner,both_primary_winner
0.75,2,1.0,2,2,1.0,0.9895233201344825,0.9895233201344825,0.0,0.02474182587142426,0.02474182587142426,0.0,TIE,TIE,TIE
0.75,4,1.0,4,4,1.0,0.9940097475542863,0.9940097475542863,0.0,0.015001254255438745,0.015001254255438745,0.0,TIE,TIE,TIE
0.75,8,1.0,8,8,1.0,0.9982024960051014,0.9982024960051014,0.0,0.003779402945477628,0.003779402945477628,0.0,TIE,TIE,TIE
0.75,12,1.0,12,12,1.0,0.9998744602061069,0.9998744602061069,0.0,0.0003652172858057412,0.0003652172858057412,0.0,TIE,TIE,TIE
0.75,16,1.0,16,16,1.0,0.9999308187322746,0.9999308187322746,0.0,0.0003057392919032509,0.0003057392919032509,0.0,TIE,TIE,TIE
1.0,2,1.0,2,2,1.0,0.971690582215656,0.971690582215656,0.0,0.04388758201131715,0.04388758201131715,0.0,TIE,TIE,TIE
1.0,4,1.0,4,4,1.0,0.9821448717296386,0.9821448717296386,0.0,0.02802556135290324,0.02802556135290324,0.0,TIE,TIE,TIE
1.0,8,1.0,8,8,1.0,0.9951834751437886,0.9951834751437886,0.0,0.006291003741577761,0.006291003741577761,0.0,TIE,TIE,TIE
1.0,12,1.0,12,12,1.0,0.9994173195768107,0.9994173195768107,0.0,0.0014134786915480646,0.0014134786915480646,0.0,TIE,TIE,TIE
1.0,16,1.0,16,16,1.0,0.9994893852756559,0.9994893852756559,0.0,0.001355607391240632,0.001355607391240632,0.0,TIE,TIE,TIE
1.25,2,1.0,2,2,1.0,0.9317380856548569,0.9317380856548569,0.0,0.07529603286493014,0.07529603286493014,0.0,TIE,TIE,TIE
1.25,4,1.0,4,4,1.0,0.9535040195876149,0.9535040195876149,0.0,0.04990342411489701,0.04990342411489701,0.0,TIE,TIE,TIE
1.25,8,1.0,8,8,1.0,0.9869880396010996,0.9869880396010996,0.0,0.011916099195190544,0.011916099195190544,0.0,TIE,TIE,TIE
1.25,12,1.0,12,12,1.0,0.997115917001076,0.997115917001076,0.0,0.0049802593803889295,0.0049802593803889295,0.0,TIE,TIE,TIE
1.25,16,1.0,16,16,1.0,0.997143082386706,0.997143082386706,0.0,0.0049473096951726525,0.0049473096951726525,0.0,TIE,TIE,TIE
1.5,2,1.0,2,2,1.0,0.8559369023872634,0.8559369023872634,0.0,0.12262947796577883,0.12262947796577883,0.0,TIE,TIE,TIE
1.5,4,1.0,4,4,1.0,0.9174323213141788,0.9174323213141788,0.0,0.05469293726740476,0.05469293726740476,0.0,TIE,TIE,TIE
1.5,8,0.7777777777777778,7,6,0.75,0.9628448693570406,0.9674685612075882,-0.004623691850547562,0.03377238149073758,0.022205022391609486,-0.011567359099128094,EN2,EN2,EN2
1.5,12,1.0,12,9,0.75,0.9880826545055476,0.9880826545055474,1.1102230246251565e-16,0.01435751158996501,0.01435751158996501,0.0,TIE,TIE,TIE
1.5,16,1.0,16,13,0.8125,0.9881070889272136,0.9881070889272136,0.0,0.014326408973013738,0.014326408973013738,0.0,TIE,TIE,TIE
1.75,2,1.0,2,2,1.0,0.7472168228437248,0.7472168228437248,0.0,0.18371661109460602,0.18371661109460602,0.0,TIE,TIE,TIE
1.75,4,1.0,4,4,1.0,0.8466304658643315,0.8466304658643315,0.0,0.07976468191926855,0.07976468191926855,0.0,TIE,TIE,TIE
1.75,8,0.7777777777777778,7,6,0.75,0.9168087207086189,0.9315310445464681,-0.014722323837849216,0.06069520475175816,0.03688601528325863,-0.023809189468499525,EN2,EN2,EN2
1.75,12,1.0,12,9,0.75,0.9650654191122027,0.9650654191122028,-1.1102230246251565e-16,0.031327587564439874,0.031327587564439874,0.0,TIE,TIE,TIE
1.75,16,1.0,16,13,0.8125,0.9653481786716743,0.9653481786716743,0.0,0.030977959101448516,0.03097795910144585,-2.6645352591003757e-15,TIE,TIE,TIE
2.0,2,1.0,2,2,1.0,0.633036891736981,0.633036891736981,0.0,0.25013979860609314,0.25013979860609314,0.0,TIE,TIE,TIE
2.0,4,1.0,4,4,1.0,0.7632938655664414,0.7632938655664414,0.0,0.10905993876387043,0.10905993876387043,0.0,TIE,TIE,TIE
2.0,8,0.7777777777777778,7,5,0.625,0.8534769584472047,0.8838155307056043,-0.030338572258399532,0.09367268556880637,0.0518017208346615,-0.041870964734144867,EN2,EN2,EN2
2.0,12,1.0,12,8,0.6666666666666666,0.9279201413719362,0.9279201413719362,0.0,0.050291765466877525,0.05029176546687797,4.440892098500626e-16,TIE,TIE,TIE
2.0,16,1.0,16,12,0.75,0.9286249446047075,0.9286249446047075,0.0,0.04314366751365695,0.04314366751365695,0.0,TIE,TIE,TIE
2.5,2,1.0,2,2,1.0,0.47369528110172077,0.47369528110172077,0.0,0.3654619101993659,0.3654619101993659,0.0,TIE,TIE,TIE
2.5,4,1.0,4,4,1.0,0.6288443373787778,0.6288443373787778,0.0,0.16520146490922105,0.16520146490922105,0.0,TIE,TIE,TIE
2.5,8,1.0,8,4,0.5,0.7381961395082449,0.7381961395082449,0.0,0.09865234374870546,0.0986523437487059,4.440892098500626e-16,TIE,TIE,TIE
2.5,12,1.0,12,8,0.6666666666666666,0.8498072622812315,0.8498072622812315,0.0,0.01047563151326747,0.010475631513266581,-8.881784197001252e-16,TIE,TIE,TIE
2.5,16,1.0,16,12,0.75,0.8507432077220859,0.8507432077220859,0.0,0.010475631513264805,0.010475631513265693,8.881784197001252e-16,TIE,TIE,TIE
3.0,2,1.0,2,2,1.0,0.4023023518644965,0.4023023518644965,0.0,0.43990254629570247,0.43990254629570247,0.0,TIE,TIE,TIE
3.0,4,0.3333333333333333,2,2,0.5,0.4850840022919847,0.5595156808221267,-0.07443167853014199,0.3238843077524569,0.20407835057894452,-0.11980595717351239,EN2,EN2,EN2
3.0,8,0.7777777777777778,7,2,0.25,0.773464745292027,0.6743484642193478,0.09911628107267922,0.07228520692419016,0.07975739748714483,0.0074721905629546725,REAL,REAL,REAL
3.0,12,1.0,12,5,0.4166666666666667,0.801517805918929,0.8015178059189291,-1.1102230246251565e-16,0.0016458836291022294,0.0016458836291035617,1.3322676295501878e-15,TIE,TIE,TIE
3.0,16,1.0,16,9,0.5625,0.8020452804701079,0.8020452804701079,0.0,0.0016458836291022294,0.0016458836291026735,4.440892098500626e-16,TIE,TIE,TIE
