molecule,geometry_angstrom,eigenpair_index,energy_low,energy_high,gap_hartree,eligible,dephasing_delta_c_median,transverse_delta_c_median,robust_delta_c,local_background,prominence,dephasing_positive_rate,transverse_positive_rate,robust_positive_rate
H4,0.75,0,-5.202578976946221,-4.799782188231666,0.4027967887145545,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,1,-4.799782188231666,-4.509060574547925,0.2907216136837416,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,2,-4.509060574547925,-4.460495956278065,0.04856461826986003,True,0.21860373346843454,0.09497306179461146,0.09497306179461146,0.05818152604664224,0.036791535747969215,1.0,0.5833333333333334,0.5833333333333334
H4,0.75,3,-4.460495956278065,-4.364078233429293,0.0964177228487717,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,4,-4.364078233429293,-4.034259009051547,0.32981922437774625,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,5,-4.034259009051547,-3.9750138479508736,0.059245161100673016,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,6,-3.9750138479508736,-3.805193679095907,0.16982016885496654,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,7,-3.805193679095907,-3.696547103211926,0.10864657588398119,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,8,-3.696547103211926,-3.6473685060136485,0.04917859719827744,True,0.3562304199343947,0.065981985075377,0.065981985075377,0.07267706440625947,-0.006695079330882467,0.9166666666666666,0.75,0.75
H4,0.75,9,-3.6473685060136485,-3.542527548056544,0.10484095795710457,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,10,-3.542527548056544,-3.4265960685806887,0.11593147947585525,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,11,-3.4265960685806887,-3.4177114421666377,0.008884626414050967,True,0.3959350672358958,0.16244785562294864,0.16244785562294864,0.1589706398832296,0.0034772157397190417,1.0,0.75,0.75
H4,0.75,12,-3.4177114421666377,-3.3748872921530304,0.04282415001360729,True,0.22840114977632683,0.05038106701790748,0.05038106701790748,0.065981985075377,-0.01560091805746952,0.75,0.5833333333333334,0.5833333333333334
H4,0.75,13,-3.3748872921530304,-3.2643523411594626,0.1105349509935678,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,14,-3.2643523411594626,-3.004138166210083,0.2602141749493798,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,15,-3.004138166210083,-3.0026256964653566,0.001512469744726186,True,0.19061834880792294,0.2880809961868802,0.19061834880792294,0.14488539329074246,0.045732955517180485,0.9166666666666666,1.0,0.9166666666666666
H4,0.75,16,-3.0026256964653566,-2.9283621877442907,0.07426350872106591,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,17,-2.9283621877442907,-2.86011636641678,0.06824582132751056,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,18,-2.86011636641678,-2.7685067863541453,0.09160958006263487,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,19,-2.7685067863541453,-2.7351982944392756,0.03330849191486962,True,0.2083881048896237,0.12732293095853625,0.12732293095853625,0.16244785562294864,-0.03512492466441239,0.8333333333333334,0.6666666666666666,0.5833333333333334
H4,0.75,20,-2.7351982944392756,-2.6481208929596143,0.08707740147966136,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,21,-2.6481208929596143,-2.47743617523952,0.17068471772009408,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,22,-2.47743617523952,-2.4555017218203354,0.021934453419184763,True,0.33979804631804933,0.023345429661232778,0.023345429661232778,0.05038106701790748,-0.027035637356674705,0.9166666666666666,0.5833333333333334,0.5
H4,0.75,23,-2.4555017218203354,-2.270401331654473,0.18510039016586255,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,24,-2.270401331654473,-2.2002257830432277,0.0701755486112452,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,25,-2.2002257830432277,-2.0928711591416014,0.10735462390162631,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,26,-2.0928711591416014,-2.0514140187471015,0.04145714039449988,True,0.04965979689947314,-0.00887907267736432,-0.00887907267736432,0.05877264688805889,-0.06765171956542321,0.5833333333333334,0.4166666666666667,0.3333333333333333
H4,0.75,27,-2.0514140187471015,-2.0263652378441406,0.02504878090296092,True,0.20853474061898608,0.1524641831093247,0.1524641831093247,0.12732293095853625,0.02514125215078844,0.75,0.9166666666666666,0.75
H4,0.75,28,-2.0263652378441406,-1.6588615091119014,0.36750372873223913,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,29,-1.6588615091119014,-1.5454248963186301,0.11343661279327133,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,30,-1.5454248963186301,-1.5088632710290222,0.036561625289607935,True,0.23687101775492145,0.094199864114885,0.094199864114885,0.007233178491934229,0.08696668562295076,0.8333333333333334,0.6666666666666666,0.5
H4,0.75,31,-1.5088632710290222,-1.3037468219681279,0.20511644906089432,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,32,-1.3037468219681279,-1.1843897197253475,0.1193571022427804,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,33,-1.1843897197253475,-0.9598947858579895,0.22449493386735797,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,0.75,34,-0.9598947858579895,-0.6425143703816971,0.31738041547629237,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,0,-4.459488695954762,-4.226858480834576,0.232630215120186,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,1,-4.226858480834576,-4.012595389951173,0.2142630908834029,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,2,-4.012595389951173,-3.94275913352127,0.06983625642990265,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,3,-3.94275913352127,-3.9162392737005383,0.026519859820731906,True,-0.10395126681365838,-0.021517087479953456,-0.10395126681365838,0.18713473645082823,-0.29108600326448664,0.4166666666666667,0.4166666666666667,0.25
H4,1.0,4,-3.9162392737005383,-3.7307925305728418,0.1854467431276965,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,5,-3.7307925305728418,-3.6253766047716804,0.10541592580116133,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,6,-3.6253766047716804,-3.5779238134412097,0.047452791330470756,True,0.13121945234372337,0.021674531249692347,0.021674531249692347,0.004474568493051834,0.017199962756640513,0.6666666666666666,0.5,0.4166666666666667
H4,1.0,7,-3.5779238134412097,-3.5077578227044723,0.07016599073673735,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,8,-3.5077578227044723,-3.439905599152921,0.0678522235515513,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,9,-3.439905599152921,-3.415098903731341,0.024806695421580205,True,0.23641355596362917,0.0883777739340115,0.0883777739340115,0.09097021607699331,-0.0025924421429818073,0.9166666666666666,0.75,0.6666666666666666
H4,1.0,10,-3.415098903731341,-3.399082727374928,0.01601617635641306,True,0.30935228255042246,0.2409766394766515,0.2409766394766515,-0.0021203002423919107,0.2430969397190434,1.0,0.8333333333333334,0.8333333333333334
H4,1.0,11,-3.399082727374928,-3.276541582706528,0.12254114466839994,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,12,-3.276541582706528,-3.2370766434446216,0.039464939261906196,True,0.03243450082126559,0.004474568493051834,0.004474568493051834,0.021674531249692347,-0.017199962756640513,0.5833333333333334,0.5833333333333334,0.3333333333333333
H4,1.0,13,-3.2370766434446216,-3.2363515320733383,0.0007251113712833934,True,0.285891698967645,0.3206313496409499,0.285891698967645,-0.007786746439823439,0.29367844540746846,0.75,0.75,0.5833333333333334
H4,1.0,14,-3.2363515320733383,-3.0726364708834315,0.16371506118990675,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,15,-3.0726364708834315,-3.01279361170544,0.05984285917799159,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,16,-3.01279361170544,-2.9937494281237567,0.01904418358168325,True,-0.031383732235645334,0.2251000041572853,-0.031383732235645334,0.004474568493051834,-0.03585830072869717,0.4166666666666667,0.8333333333333334,0.4166666666666667
H4,1.0,17,-2.9937494281237567,-2.9324804379341862,0.06126899018957044,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,18,-2.9324804379341862,-2.9177464008654734,0.01473403706871279,True,-0.008715168977835655,0.1580781561041508,-0.008715168977835655,-0.0015057483501078398,-0.007209420627727815,0.4166666666666667,0.9166666666666666,0.4166666666666667
H4,1.0,19,-2.9177464008654734,-2.844658652045395,0.07308774882007851,False,nan,nan,nan,nan,nan,nan,nan,nan
H4,1.0,20,-2.844658652045395,-2.7685696390216754,0.07608901302371951,False,nan,nan,nan,nan,nan,nan,nan,nan
