geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,REAL,,2,0.989523320134482,0.02474182587142426,-5.177837151074798,-5.2025789769462225,0.5,1.0,1.0,0.494761660067241,
0.75,NULL,25043000,2,5.115601086158717e-32,1.4477319255904995,-3.754847051355723,-5.2025789769462225,0.0,0.0,0.0,2.5578005430793585e-32,0
0.75,RANDOM,25043000,2,2.661347190646885e-32,1.7714189234404905,-3.431160053505732,-5.2025789769462225,0.0,0.0,0.0,1.3306735953234424e-32,0
0.75,NULL,25043001,2,0.0008226990466961419,0.7919165443332048,-4.410662432613018,-5.2025789769462225,0.0,0.0,0.0005878776600576693,0.00041134952334807097,0
0.75,RANDOM,25043001,2,3.6596697374530986e-05,0.8989468315413784,-4.303632145404844,-5.2025789769462225,0.0,0.0,2.61438493024927e-05,1.8298348687265493e-05,0
0.75,NULL,25043002,2,2.0482091475861997e-31,1.7714189234404905,-3.431160053505732,-5.2025789769462225,0.0,0.0,0.0,1.0241045737930998e-31,0
0.75,RANDOM,25043002,2,2.019339748646316e-33,2.1709500893899336,-3.031628887556289,-5.2025789769462225,0.0,0.0,0.0,1.009669874323158e-33,0
0.75,NULL,25043003,2,0.0005068024532159139,2.216030707949184,-2.9865482689970384,-5.2025789769462225,0.0,0.0,0.0002284641855186105,0.00025340122660795695,0
0.75,RANDOM,25043003,2,1.095667419218775e-30,0.5816315869463642,-4.620947389999858,-5.2025789769462225,0.0,0.0,0.0,5.478337096093875e-31,0
0.75,NULL,25043004,2,4.6196085213539374e-52,0.4261105695092091,-4.776468407437013,-5.2025789769462225,0.0,0.0,0.0,2.3098042606769687e-52,0
0.75,RANDOM,25043004,2,9.437056727497238e-33,1.7759829083655365,-3.426596068580686,-5.2025789769462225,0.0,0.0,0.0,4.718528363748619e-33,0
0.75,NULL,25043005,2,3.0640774988249868e-33,1.9086735276271587,-3.293905449319064,-5.2025789769462225,0.0,0.0,0.0,1.5320387494124934e-33,0
0.75,RANDOM,25043005,2,5.662000562993478e-49,1.2918134836946935,-3.910765493251529,-5.2025789769462225,0.0,0.0,0.0,2.831000281496739e-49,0
0.75,NULL,25043006,2,2.3601858825661117e-30,0.7919165443332039,-4.410662432613019,-5.2025789769462225,0.0,0.0,0.0,1.1800929412830558e-30,0
0.75,RANDOM,25043006,2,8.518296086548103e-34,3.2709683642656415,-1.931610612680581,-5.2025789769462225,0.0,0.0,0.0,4.259148043274051e-34,0
0.75,NULL,25043007,2,2.1184394480847516e-31,1.7707615876463412,-3.4318173892998813,-5.2025789769462225,0.0,0.0,0.0,1.0592197240423758e-31,0
0.75,RANDOM,25043007,2,1.7106617285974343e-51,0.4426814786409885,-4.759897498305234,-5.2025789769462225,0.0,0.0,0.0,8.553308642987172e-52,0
0.75,NULL,25043008,2,0.0021406265027825878,2.2963262295321214,-2.906252747414101,-5.2025789769462225,0.0,0.0,0.0015303306011285745,0.0010703132513912939,0
0.75,RANDOM,25043008,2,5.239052172183472e-49,1.2926523367720129,-3.9099266401742097,-5.2025789769462225,0.0,0.0,0.0,2.619526086091736e-49,0
0.75,NULL,25043009,2,0.0008226990466961419,3.5520631720269416,-1.6505158049192812,-5.2025789769462225,0.0,0.0,0.00037090950719035037,0.00041134952334807097,0
0.75,RANDOM,25043009,2,2.7083389842947057e-33,2.1273462736750255,-3.075232703271197,-5.2025789769462225,0.0,0.0,0.0,1.3541694921473529e-33,0
0.75,NULL,25043010,2,2.8711693573011264e-33,3.1158887754471545,-2.086690201499068,-5.2025789769462225,0.0,0.0,0.0,1.4355846786505632e-33,0
0.75,RANDOM,25043010,2,9.437056727497238e-33,1.6782890032709266,-3.524289973675296,-5.2025789769462225,0.0,0.0,0.0,4.718528363748619e-33,0
