geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max
0.75,NULL,2,12,0.0004400578317985396,5.625008217551293e-06,0.0005607945996618748,3.8765968753898596e-33,0.0013869815719037449,1.7785880624895951,1.8491078788537152,0.9420824294896498,0.5689603343876417,3.2709683642656433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002458007026461914,4.0183394487454145e-06,0.0003271049717404291,0.0,0.0008163418455762791,0.0002200289158992698,2.8125041087756465e-06,0.0002803972998309374,1.9382984376949298e-33,0.0006934907859518724
0.75,NULL,4,12,0.0021514209274025933,0.0007005772147466395,0.004541477447404617,1.4033570071426202e-29,0.016912288729011238,1.2611401402535936,1.094013808407201,0.780813603645059,0.4391653973577192,2.992175356321167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007794497417524388,0.00027903599663157264,0.001408738753910161,0.0,0.005249337682719622,0.0005378552318506483,0.00017514430368665987,0.0011353693618511543,3.5083925178565506e-30,0.0042280721822528095
0.75,NULL,8,12,0.2474425144226631,0.003472370763172755,0.4235348649390257,4.6477611771045697e-05,0.9900667192850725,0.8204848138143112,0.7351739028110678,0.6204896634289765,0.022963762121709586,2.064760951563746,0.03125,0.0,0.05412658773652741,0.0,0.125,0.25,0.0,0.4330127018922193,0.0,1.0,0.08419673724581024,0.001036212288073628,0.14444258855607933,1.174626282049786e-05,0.3536114207012725,0.030930314302832888,0.00043404634539659435,0.05294185811737821,5.809701471380712e-06,0.12375833991063406
0.75,NULL,12,12,0.4149605899339141,0.019877866619291223,0.4786047939650006,9.297438418836734e-05,0.9950599491580921,0.5212538734958636,0.572389493929029,0.48116918984588175,0.012728294827364373,1.4051718453736863,0.03472222222222222,0.0,0.04108388738263622,0.0,0.08333333333333333,0.4166666666666667,0.0,0.4930066485916347,0.0,1.0,0.1298611105804291,0.004632011547690669,0.15238426338745303,2.082518383749518e-05,0.35360253392623486,0.034580049161159504,0.0016564888849409354,0.03988373283041672,7.747865349030612e-06,0.08292166242984102
0.75,NULL,16,12,0.9847901032176223,0.9795578142859518,0.008191637642403032,0.9740335072895712,0.99640009423867,0.023620826272779432,0.02593173233981405,0.009667862181374753,0.006529572613571233,0.039342989826344876,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.2714989007056035,0.24678125936413292,0.03840094938336422,0.24228655031249083,0.35398435887715324,0.06154938145110139,0.06122236339287199,0.0005119773526501895,0.0608770942055982,0.06227500588991688
0.75,RANDOM,2,12,0.0018604053458095942,1.3691020386022069e-06,0.004455679620492047,2.6025785458086932e-33,0.016405486275795324,1.778397511887027,2.046346823320092,0.8641957868859796,0.5723112160568986,3.2709683642656433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009140597856764905,7.975600862401123e-07,0.0020229926785952476,0.0,0.007436419077879568,0.0009302026729047971,6.845510193011034e-07,0.0022278398102460236,1.3012892729043466e-33,0.008202743137897662
0.75,RANDOM,4,12,0.0022659959945601853,0.00038454902994575224,0.004416564644226594,2.2243839943779755e-32,0.016405486275795324,1.1471638238123714,1.158277746859385,0.5646852429679342,0.5688288504727135,2.093004575152643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010406326866686012,0.00013603263519772102,0.0020071504642348264,0.0,0.007425298639550574,0.0005664989986400463,9.613725748643806e-05,0.0011041411610566486,5.560959985944939e-33,0.004101371568948831
0.75,RANDOM,8,12,0.16962867354809788,0.0033589355603931706,0.367339063127422,1.388262684890863e-06,0.9922648258598467,0.8557991372442344,0.8792732436236417,0.5320191998285784,0.018466057781721723,1.908092305689761,0.020833333333333332,0.0,0.04658474953124561,0.0,0.125,0.16666666666666666,0.0,0.3726779962499649,0.0,1.0,0.057241920901977716,0.0010509973356756367,0.12463441530851437,3.2947639131161203e-07,0.33809487064727684,0.021203584193512235,0.00041986694504914633,0.04591738289092775,1.7353283561135787e-07,0.12403310323248083
0.75,RANDOM,12,12,0.253609430610038,0.01220845862061614,0.4237580107504775,0.00138165931756101,0.9923014608785138,0.595122739701531,0.5764357387197592,0.40290895322335213,0.018327025697012722,1.36771750674108,0.020833333333333332,0.0,0.03608439182435161,0.0,0.08333333333333333,0.25,0.0,0.4330127018922193,0.0,1.0,0.08165181897339713,0.0030675514259478516,0.13804116280846124,0.0003363047290674998,0.3379878420353928,0.02113411921750317,0.0010173715517180115,0.035313167562539785,0.0001151382764634175,0.08269178840654282
0.75,RANDOM,16,12,0.5004274043408362,0.49983071777236954,0.48687340381303734,0.002910350159089515,0.9936042274348017,0.35510536944470616,0.23268549686048923,0.3605621857771749,0.013929966049976983,1.0415829853858858,0.03125,0.03125,0.03125,0.0,0.0625,0.5,0.5,0.5,0.0,1.0,0.14469788088539268,0.12573300352172218,0.14416517439547466,0.0006193255457554933,0.338074751262011,0.03127671277130226,0.031239419860773096,0.030429587738314834,0.00018189688494309468,0.062100264214675106
