geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,REAL,,2,0.989523320134482,0.024741825871426038,-5.177837151074798,-5.202578976946224,0.5,1.0,1.0,0.494761660067241,
0.75,NULL,25043000,2,1.3691020386021222e-06,3.2709683642656433,-1.9316106126805812,-5.202578976946224,0.0,0.0,9.780434558798034e-07,6.845510193010611e-07,0
0.75,RANDOM,25043000,2,0.016405486275795324,1.1552684977944443,-4.04731047915178,-5.202578976946224,0.0,0.0,0.007436419077879568,0.008202743137897662,1
0.75,NULL,25043001,2,9.880914396500463e-06,1.4920981086097345,-3.71048086833649,-5.202578976946224,0.0,0.0,7.058635441611025e-06,4.940457198250232e-06,0
0.75,RANDOM,25043001,2,0.0010710849784235342,2.1198015193234006,-3.0827774576228237,-5.202578976946224,0.0,0.0,0.0006316485346949488,0.0005355424892117671,0
0.75,NULL,25043002,2,3.832129257748749e-08,2.9921753563211677,-2.2104036206250566,-5.202578976946224,0.0,0.0,2.2323769935215543e-08,1.9160646288743746e-08,0
0.75,RANDOM,25043002,2,1.3691020386022069e-06,1.4477319255905008,-3.7548470513557235,-5.202578976946224,0.0,0.0,6.170767166004211e-07,6.845510193011034e-07,0
0.75,NULL,25043003,2,0.0007592171454950025,0.8989468315413793,-4.303632145404845,-5.202578976946224,0.0,0.0,0.00035192214976856545,0.00037960857274750126,0
0.75,RANDOM,25043003,2,0.0021406265027825878,0.581631586946366,-4.620947389999858,-5.202578976946224,0.0,0.0,0.000965531109052911,0.0010703132513912939,0
0.75,NULL,25043004,2,3.8765968753898596e-33,1.4477319255905008,-3.7548470513557235,-5.202578976946224,0.0,0.0,0.0,1.9382984376949298e-33,0
0.75,RANDOM,25043004,2,1.1904379210384726e-32,2.5869780537991995,-2.6156009231470247,-5.202578976946224,0.0,0.0,0.0,5.952189605192363e-33,0
0.75,NULL,25043005,2,0.0012294229013363712,2.206117649097696,-2.9964613278485284,-5.202578976946224,0.0,0.0,0.0007448105753056425,0.0006147114506681856,0
0.75,RANDOM,25043005,2,2.905501063651059e-32,2.026724157773633,-3.1758548191725913,-5.202578976946224,0.0,0.0,0.0,1.4527505318255294e-32,0
0.75,NULL,25043006,2,0.0013295014999120732,2.2149319189218426,-2.9876470580243817,-5.202578976946224,0.0,0.0,0.0008163418455762791,0.0006647507499560366,0
0.75,RANDOM,25043006,2,1.4028525964410822e-29,0.581631586946366,-4.620947389999858,-5.202578976946224,0.0,0.0,0.0,7.014262982205411e-30,0
0.75,NULL,25043007,2,0.0013869815719037449,2.311430079308047,-2.8911488976381774,-5.202578976946224,0.0,0.0,0.0007740938563666884,0.0006934907859518724,0
0.75,RANDOM,25043007,2,1.4229063289712485e-29,0.5723112160568986,-4.630267760889326,-5.202578976946224,0.0,0.0,0.0,7.114531644856243e-30,0
0.75,NULL,25043008,2,1.0965192488274298e-30,0.5808286001777763,-4.621750376768448,-5.202578976946224,0.0,0.0,0.0,5.482596244137149e-31,0
0.75,RANDOM,25043008,2,1.3691020386022069e-06,3.2709683642656433,-1.9316106126805812,-5.202578976946224,0.0,0.0,9.780434558798034e-07,6.845510193011034e-07,0
0.75,NULL,25043009,2,1.0975526134130278e-30,0.5689603343876417,-4.633618642558583,-5.202578976946224,0.0,0.0,0.0,5.487763067065139e-31,0
0.75,RANDOM,25043009,2,2.6025785458086932e-33,2.6354275157491993,-2.567151461197025,-5.202578976946224,0.0,0.0,0.0,1.3012892729043466e-33,0
0.75,NULL,25043010,2,0.0005642825252076033,0.581631586946366,-4.620947389999858,-5.202578976946224,0.0,0.0,0.0002543810020696957,0.0002821412626038016,0
0.75,RANDOM,25043010,2,0.0021406456634288766,2.296326229532123,-2.906252747414101,-5.202578976946224,0.0,0.0,0.0015303392371416407,0.0010703228317144383,0
0.75,NULL,25043011,2,1.1005459881885653e-32,2.777235994707351,-2.4253429822388735,-5.202578976946224,0.0,0.0,0.0,5.502729940942827e-33,0
0.75,RANDOM,25043011,2,0.0005642825252076029,2.0659694888665503,-3.136609488079674,-5.202578976946224,0.0,0.0,0.0004031843491763384,0.00028214126260380146,0
0.75,REAL,,4,0.9940097475542857,0.015001254255440521,-5.187577722690784,-5.202578976946224,0.25,1.0,1.0,0.24850243688857143,
0.75,NULL,25043000,4,0.0005081715552545334,2.215776966412139,-2.986802010534085,-5.202578976946224,0.0,0.0,0.0001566944395516183,0.00012704288881363335,0
