geometry_angstrom,method,k,captured_probability_mass,absolute_energy_error_hartree,reaches_chemical_accuracy,selected_fraction_of_sector,determinant_reduction_fraction,dense_subspace_dimension,dense_subspace_elements,full_sector_dense_elements,dense_element_reduction_fraction
0.75,REAL,2,0.9895233201344825,0.02474182587142426,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
0.75,REAL,4,0.9940097475542863,0.015001254255438745,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
0.75,REAL,8,0.9982024960051014,0.003779402945477628,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
0.75,REAL,12,0.9998744602061069,0.0003652172858057412,True,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
0.75,REAL,16,0.9999308187322746,0.0003057392919032509,True,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
0.75,EN2,2,0.9895233201344825,0.02474182587142426,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
0.75,EN2,4,0.9940097475542863,0.015001254255438745,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
0.75,EN2,8,0.9982024960051014,0.003779402945477628,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
0.75,EN2,12,0.9998744602061069,0.0003652172858057412,True,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
0.75,EN2,16,0.9999308187322746,0.0003057392919032509,True,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
1.0,REAL,2,0.971690582215656,0.04388758201131715,False,0.05555555555555555,0.9444444444444444,2,4,1296,0.9969135802469136
1.0,REAL,4,0.9821448717296386,0.02802556135290324,False,0.1111111111111111,0.8888888888888888,4,16,1296,0.9876543209876543
1.0,REAL,8,0.9951834751437886,0.006291003741577761,False,0.2222222222222222,0.7777777777777778,8,64,1296,0.9506172839506173
1.0,REAL,12,0.9994173195768107,0.0014134786915480646,True,0.3333333333333333,0.6666666666666667,12,144,1296,0.8888888888888888
1.0,REAL,16,0.9994893852756559,0.001355607391240632,True,0.4444444444444444,0.5555555555555556,16,256,1296,0.8024691358024691
